TEAM,GP,W,L,WIN%,PTS,FGM,3PM,FTM,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
GoldenStateWarriors,82,58,24,0.7070000000000001,9304,3509,926,1360,3568,2402,1265,656,612,300,1607,1516,490
HoustonRockets,82,65,17,0.7929999999999999,9213,3174,1256,1609,3564,1767,1135,699,392,363,1597,1670,695
NewOrleansPelicans,82,48,34,0.585,9161,3500,837,1324,3635,2195,1223,657,485,344,1570,1669,107
TorontoRaptors,82,59,23,0.72,9156,3383,968,1422,3607,1995,1095,626,500,401,1783,1633,638
ClevelandCavaliers,82,50,32,0.61,9091,3311,981,1488,3455,1916,1126,582,312,340,1524,1696,77
DenverNuggets,82,46,36,0.561,9020,3338,940,1404,3650,2059,1226,627,404,391,1533,1699,121
Philadelphia76ers,82,52,30,0.634,9004,3349,901,1405,3889,2221,1353,682,420,417,1811,1670,369
MinnesotaTimberwolves,82,47,35,0.573,8980,3365,658,1592,3441,1861,1021,689,345,382,1495,1710,183
LAClippers,82,42,40,0.512,8937,3302,777,1556,3598,1832,1204,628,372,462,1638,1803,3
CharlotteHornets,82,36,46,0.439,8874,3197,824,1656,3728,1770,1041,559,373,404,1409,1839,21
LosAngelesLakers,82,35,47,0.42700000000000005,8862,3338,822,1364,3803,1949,1295,633,388,447,1736,1679,-127
OklahomaCityThunder,82,48,34,0.585,8844,3271,881,1421,3695,1750,1147,743,412,377,1653,1750,280
WashingtonWizards,82,43,39,0.524,8742,3275,814,1378,3536,2065,1196,645,353,383,1746,1639,48
BrooklynNets,82,28,54,0.341,8741,3136,1041,1428,3644,1941,1245,512,390,450,1688,1615,-307
MilwaukeeBucks,82,44,38,0.537,8731,3257,718,1499,3267,1905,1135,722,443,366,1752,1633,-25
PortlandTrailBlazers,82,49,33,0.598,8661,3222,845,1372,3728,1599,1109,573,423,418,1599,1564,213
IndianaPacers,82,48,34,0.585,8656,3345,741,1225,3472,1819,1088,721,340,428,1544,1514,113
NewYorkKnicks,82,29,53,0.354,8566,3334,673,1225,3611,1912,1208,552,421,389,1682,1509,-292
UtahJazz,82,48,34,0.585,8540,3139,887,1375,3547,1839,1205,708,420,380,1608,1683,353
BostonCeltics,82,55,27,0.6709999999999999,8529,3141,939,1308,3645,1842,1148,604,373,364,1618,1571,294
PhoenixSuns,82,21,61,0.256,8522,3153,763,1453,3618,1743,1289,569,370,488,1807,1715,-768
DetroitPistons,82,39,43,0.47600000000000003,8509,3208,886,1207,3586,1868,1102,628,317,398,1508,1511,-12
MiamiHeat,82,44,38,0.537,8480,3184,903,1209,3564,1862,1178,620,437,378,1648,1587,39
OrlandoMagic,82,25,57,0.305,8479,3182,844,1271,3414,1921,1192,622,400,402,1579,1556,-395
AtlantaHawks,82,24,58,0.293,8475,3130,917,1298,3436,1946,1274,638,348,453,1606,1661,-447
ChicagoBulls,82,27,55,0.32899999999999996,8440,3170,906,1194,3662,1923,1147,626,289,423,1571,1425,-577
SanAntonioSpurs,82,47,35,0.573,8424,3202,696,1324,3626,1868,1078,628,460,318,1408,1619,237
DallasMavericks,82,24,58,0.293,8390,3128,967,1167,3383,1858,1007,578,310,369,1578,1604,-249
MemphisGrizzlies,82,22,60,0.268,8145,3013,758,1361,3323,1767,1227,613,396,421,1900,1674,-509
SacramentoKings,82,27,55,0.32899999999999996,8104,3179,738,1008,3354,1768,1125,643,340,389,1639,1422,-573
